cost_center,cost_center_name,department,budget_2025_eur,actual_ytd_eur,forecast_2025_eur,variance_pct,status
CC1000,Engineering R&D,engineering,2500000,2180000,2450000,-2.0,On Track
CC1100,Product Testing Lab,engineering,800000,720000,810000,1.3,Watch
CC2000,Production Line A,production,5200000,4650000,5150000,-1.0,On Track
CC2100,Production Line B,production,3800000,3500000,3850000,1.3,Watch
CC2200,Quality Assurance,quality,600000,480000,580000,-3.3,On Track
CC3000,Sales DACH,sales,1200000,1050000,1180000,-1.7,On Track
CC3100,Sales International,sales,900000,820000,920000,2.2,Watch
CC4000,Human Resources,hr,450000,380000,440000,-2.2,On Track
CC4100,Training & Development,hr,200000,165000,195000,-2.5,On Track
CC5000,IT Infrastructure,it,1100000,980000,1120000,1.8,Watch
CC5100,IT Software Licenses,it,350000,310000,360000,2.9,Alert
CC6000,General Administration,admin,800000,690000,780000,-2.5,On Track
